index,card_id,card_name,card_number,set_id,set_name,card_market_value,binder_name,page_number,slot_number
211,base4-1,Alakazam,1,base4,Base Set 2,36.39,2,1,1
212,base4-2,Blastoise,2,base4,Base Set 2,102.11,2,1,2
213,base4-3,Chansey,3,base4,Base Set 2,14.35,2,1,3
214,base4-4,Charizard,4,base4,Base Set 2,297.08,2,1,4
215,base4-5,Clefable,5,base4,Base Set 2,14.19,2,1,5
216,base4-6,Clefairy,6,base4,Base Set 2,10.74,2,1,6
217,base4-7,Gyarados,7,base4,Base Set 2,26.74,2,1,7
218,base4-8,Hitmonchan,8,base4,Base Set 2,21.05,2,1,8
219,base4-9,Magneton,9,base4,Base Set 2,12.07,2,1,9
221,base4-10,Mewtwo,10,base4,Base Set 2,39.96,2,2,1
222,base4-11,Nidoking,11,base4,Base Set 2,23.83,2,2,2
223,base4-12,Nidoqueen,12,base4,Base Set 2,22.99,2,2,3
224,base4-13,Ninetales,13,base4,Base Set 2,21.08,2,2,4
225,base4-14,Pidgeot,14,base4,Base Set 2,27.11,2,2,5
226,base4-15,Poliwrath,15,base4,Base Set 2,13.64,2,2,6
227,base4-16,Raichu,16,base4,Base Set 2,33.01,2,2,7
228,base4-17,Scyther,17,base4,Base Set 2,24.35,2,2,8
229,base4-18,Venusaur,18,base4,Base Set 2,73.03,2,2,9
231,base4-19,Wigglytuff,19,base4,Base Set 2,11.14,2,3,1
232,base4-20,Zapdos,20,base4,Base Set 2,24.0,2,3,2
233,base4-21,Beedrill,21,base4,Base Set 2,1.91,2,3,3
234,base4-22,Dragonair,22,base4,Base Set 2,8.58,2,3,4
235,base4-23,Dugtrio,23,base4,Base Set 2,3.23,2,3,5
236,base4-24,Electabuzz,24,base4,Base Set 2,3.22,2,3,6
237,base4-25,Electrode,25,base4,Base Set 2,3.89,2,3,7
238,base4-26,Kangaskhan,26,base4,Base Set 2,3.11,2,3,8
239,base4-27,Mr. Mime,27,base4,Base Set 2,6.04,2,3,9
241,base4-28,Pidgeotto,28,base4,Base Set 2,4.08,2,4,1
242,base4-29,Pinsir,29,base4,Base Set 2,3.3,2,4,2
243,base4-30,Snorlax,30,base4,Base Set 2,9.51,2,4,3
244,base4-31,Venomoth,31,base4,Base Set 2,3.29,2,4,4
245,base4-32,Victreebel,32,base4,Base Set 2,2.82,2,4,5
246,base4-33,Arcanine,33,base4,Base Set 2,2.09,2,4,6
247,base4-34,Butterfree,34,base4,Base Set 2,1.7,2,4,7
248,base4-35,Charmeleon,35,base4,Base Set 2,1.7,2,4,8
249,base4-36,Dewgong,36,base4,Base Set 2,1.25,2,4,9
251,base4-37,Dodrio,37,base4,Base Set 2,1.73,2,5,1
252,base4-38,Dratini,38,base4,Base Set 2,1.18,2,5,2
253,base4-39,Exeggutor,39,base4,Base Set 2,1.18,2,5,3
254,base4-40,Farfetch'd,40,base4,Base Set 2,0.52,2,5,4
